time,takeoff_count,total_ticks_on_surface,callsign,state,speed,is_delayed,itinerary_index,uncertainty_delayed_index,scheduler_delayed_index,takeoff,atgate_cnt
"07:08:00",0,0,"UA5562-A","taxi",350.0,false,4,[],[],false,0
"07:08:00",0,0,"AS303-D","pushback",100.0,false,2,[],[],false,1
"07:08:00",0,0,"UA5667-A","taxi",75.0,false,1,[],[],false,0
"07:08:30",0,0,"AS1922-D","taxi",350.0,false,16,[],[],false,1
"07:08:30",0,0,"UA1580-A","taxi",350.0,false,4,[],[],false,0
"07:08:30",0,0,"AS3370-D","taxi",350.0,false,14,[],[],false,1
"07:08:30",0,0,"AS1302-D","pushback",100.0,false,2,[],[],false,2
"07:08:30",0,0,"UA5562-A","taxi",350.0,false,4,[],[],false,0
"07:08:30",0,0,"AS303-D","pushback",100.0,false,2,[],[],false,1
"07:08:30",0,0,"UA5667-A","taxi",150.0,false,2,[],[],false,0
"07:09:00",0,0,"AS1922-D","taxi",350.0,false,17,[],[],false,1
"07:09:00",0,0,"UA1580-A","taxi",350.0,false,5,[],[],false,0
"07:09:00",0,0,"AS3370-D","taxi",350.0,false,14,[],[],false,1
"07:09:00",0,0,"AS1302-D","pushback",100.0,false,2,[],[],false,2
"07:09:00",0,0,"UA5562-A","taxi",350.0,false,4,[],[],false,0
"07:09:00",0,0,"AS303-D","pushback",100.0,false,2,[],[],false,1
"07:09:00",0,0,"UA5667-A","taxi",150.0,false,2,[],[],false,0
"07:09:00",0,0,"AA343-D","atGate",0.0,false,0,[],[],false,1
"07:09:00",0,0,"UA5549-A","taxi",75.0,false,1,[],[],false,0
"07:09:30",0,0,"AS1922-D","taxi",350.0,false,18,[],[],false,1
"07:09:30",0,0,"UA1580-A","taxi",350.0,false,5,[],[],false,0
"07:09:30",0,0,"AS3370-D","taxi",350.0,false,16,[],[],false,1
"07:09:30",0,0,"AS1302-D","pushback",100.0,false,2,[],[],false,2
"07:09:30",0,0,"UA5562-A","taxi",350.0,false,4,[],[],false,0
"07:09:30",0,0,"AS303-D","pushback",100.0,false,2,[],[],false,1
"07:09:30",0,0,"UA5667-A","taxi",150.0,false,2,[],[],false,0
"07:09:30",0,0,"AA343-D","atGate",0.0,false,0,[],[],false,2
"07:09:30",0,0,"UA5549-A","taxi",150.0,false,2,[],[],false,0
"07:10:00",0,0,"AS1922-D","taxi",350.0,false,20,[],[],false,1
"07:10:00",0,0,"UA1580-A","taxi",350.0,false,5,[],[],false,0
"07:10:00",0,0,"AS3370-D","taxi",350.0,false,16,[],[],false,1
"07:10:00",0,0,"AS1302-D","pushback",100.0,false,2,[],[],false,2
"07:10:00",0,0,"UA5562-A","ramp",275.0,false,7,[],[],false,0
"07:10:00",0,0,"AS303-D","ramp",175.0,false,3,[],[],false,1
"07:10:00",0,0,"UA5667-A","taxi",150.0,false,2,[],[],false,0
"07:10:00",0,0,"AA343-D","atGate",0.0,false,0,[],[],false,3
"07:10:00",0,0,"UA5549-A","taxi",225.0,false,2,[],[],false,0
"07:10:30",0,0,"AS1922-D","taxi",350.0,false,20,[],[],false,1
"07:10:30",0,0,"UA1580-A","taxi",350.0,false,5,[],[],false,0
"07:10:30",0,0,"AS3370-D","taxi",350.0,false,16,[],[],false,1
"07:10:30",0,0,"AS1302-D","pushback",100.0,false,2,[],[],false,2
"07:10:30",0,0,"UA5562-A","ramp",200.0,false,8,[],[],false,0
"07:10:30",0,0,"AS303-D","taxi",250.0,false,5,[],[],false,1
"07:10:30",0,0,"UA5667-A","taxi",148.3384660526993,false,2,[],[],false,0
"07:10:30",0,0,"AA343-D","atGate",0.0,false,0,[],[],false,4
"07:10:30",0,0,"UA5549-A","taxi",300.0,false,2,[],[],false,0
"07:11:00",0,0,"AS1922-D","taxi",350.0,false,22,[],[],false,1
"07:11:00",0,0,"UA1580-A","taxi",350.0,false,6,[],[],false,0
"07:11:00",0,0,"AS3370-D","taxi",350.0,false,16,[],[],false,1
"07:11:00",0,0,"AS1302-D","pushback",100.0,false,2,[],[],false,2
"07:11:00",0,0,"UA5562-A","ramp",200.0,false,10,[],[],false,0
"07:11:00",0,0,"AS303-D","taxi",325.0,false,7,[],[],false,1
"07:11:00",0,0,"UA5667-A","taxi",145.3474623024014,false,2,[],[],false,0
"07:11:00",0,0,"AA343-D","atGate",0.0,false,1,[],[],false,5
"07:11:00",0,0,"UA5549-A","taxi",350.0,false,3,[],[],false,0
"07:11:00",0,0,"UA5617-A","taxi",0.0,false,0,[],[],false,0
"07:11:30",0,0,"AS1922-D","taxi",350.0,false,22,[],[],false,1
"07:11:30",0,0,"UA1580-A","taxi",350.0,false,7,[],[],false,0
"07:11:30",0,0,"AS3370-D","taxi",0,false,16,[],[],false,1
"07:11:30",0,0,"AS1302-D","pushback",100.0,false,2,[],[],false,2
"07:11:30",0,0,"UA5562-A","ramp",200.0,false,13,[],[],false,0
"07:11:30",0,0,"AS303-D","taxi",350.0,false,7,[],[],false,1
"07:11:30",0,0,"UA5667-A","taxi",220.3474623024014,false,2,[],[],false,0
"07:11:30",0,0,"AA343-D","pushback",75.0,false,2,[],[],false,5
"07:11:30",0,0,"UA5549-A","taxi",350.0,false,3,[],[],false,0
"07:11:30",0,0,"UA5617-A","taxi",0.0,false,0,[],[],false,0
"07:12:00",0,0,"AS1922-D","taxi",350.0,false,27,[],[],false,1
"07:12:00",0,0,"UA1580-A","taxi",350.0,false,7,[],[],false,0
"07:12:00",0,0,"AS3370-D","taxi",0,false,16,[],[],false,1
"07:12:00",0,0,"AS1302-D","pushback",100.0,false,2,[],[],false,2
"07:12:00",0,0,"AS303-D","taxi",350.0,false,7,[],[],false,1
"07:12:00",0,0,"UA5667-A","taxi",295.34746230240137,false,3,[],[],false,0
"07:12:00",0,0,"AA343-D","pushback",100.0,false,2,[],[],false,5
"07:12:00",0,0,"UA5549-A","taxi",350.0,false,5,[],[],false,0
"07:12:00",0,0,"UA5617-A","taxi",0.0,false,0,[],[],false,0
"07:12:30",0,0,"AS1922-D","stop",350.0,false,29,[],[],false,1
"07:12:30",0,0,"UA1580-A","taxi",350.0,false,9,[],[],false,0
"07:12:30",0,0,"AS3370-D","taxi",0.0,false,16,[],[],false,1
"07:12:30",0,0,"AS1302-D","pushback",100.0,false,2,[],[],false,2
"07:12:30",0,0,"AS303-D","taxi",350.0,false,8,[],[],false,1
"07:12:30",0,0,"UA5667-A","taxi",350.0,false,3,[],[],false,0
"07:12:30",0,0,"AA343-D","pushback",100.0,false,2,[],[],false,5
"07:12:30",0,0,"UA5549-A","ramp",275.0,false,9,[],[],false,0
"07:12:30",0,0,"UA5617-A","taxi",0.0,false,1,[],[],false,0
"07:13:00",1,24,"UA1580-A","ramp",275.0,false,12,[],[],false,0
"07:13:00",1,24,"AS3370-D","taxi",75.0,false,16,[],[],false,1
"07:13:00",1,24,"AS1302-D","pushback",100.0,false,2,[],[],false,2
"07:13:00",1,24,"AS303-D","taxi",350.0,false,8,[],[],false,1
"07:13:00",1,24,"UA5667-A","taxi",350.0,false,3,[],[],false,0
"07:13:00",1,24,"AA343-D","pushback",100.0,false,2,[],[],false,5
"07:13:00",1,24,"UA5549-A","ramp",200.0,false,12,[],[],false,0
"07:13:00",1,24,"UA5617-A","taxi",0.0,false,1,[],[],false,0
"07:13:00",1,24,"UA2068-A","taxi",0,false,1,[],[],false,0
"07:13:00",1,24,"AS1922-D","stop",350.0,false,29,[],[],true,1
"07:13:30",1,24,"AS3370-D","taxi",150.0,false,16,[],[],false,1
"07:13:30",1,24,"AS1302-D","pushback",100.0,false,2,[],[],false,2
"07:13:30",1,24,"AS303-D","taxi",350.0,false,8,[],[],false,1
"07:13:30",1,24,"UA5667-A","taxi",350.0,false,4,[],[],false,0
"07:13:30",1,24,"AA343-D","pushback",100.0,false,2,[],[],false,5
"07:13:30",1,24,"UA5617-A","taxi",0.0,false,1,[],[],false,0
"07:13:30",1,24,"UA2068-A","taxi",0,false,1,[],[],false,0
"07:13:30",1,24,"AA700-D","atGate",75.0,false,1,[],[],false,1
"07:14:00",1,24,"AS3370-D","taxi",225.0,false,17,[],[],false,1
"07:14:00",1,24,"AS1302-D","pushback",100.0,false,2,[],[],false,2
"07:14:00",1,24,"AS303-D","taxi",350.0,false,9,[],[],false,1
"07:14:00",1,24,"UA5667-A","taxi",350.0,false,4,[],[],false,0
"07:14:00",1,24,"AA343-D","pushback",100.0,false,2,[],[],false,5
"07:14:00",1,24,"UA5617-A","taxi",0.0,false,1,[],[],false,0
"07:14:00",1,24,"UA2068-A","taxi",75.0,false,2,[],[],false,0
"07:14:00",1,24,"AA700-D","pushback",100.0,false,2,[],[],false,1
"07:14:00",1,24,"WN1086-D","atGate",75.0,false,1,[],[],false,1
"07:14:30",1,24,"AS3370-D","taxi",300.0,false,17,[],[],false,1
"07:14:30",1,24,"AS1302-D","pushback",100.0,false,2,[],[],false,2
"07:14:30",1,24,"AS303-D","taxi",350.0,false,10,[],[],false,1
"07:14:30",1,24,"UA5667-A","taxi",350.0,false,5,[],[],false,0
"07:14:30",1,24,"AA343-D","pushback",97.8983370804305,false,2,[],[],false,5
"07:14:30",1,24,"UA5617-A","taxi",0.0,false,2,[],[],false,0
"07:14:30",1,24,"UA2068-A","taxi",150.0,false,2,[],[],false,0
"07:14:30",1,24,"AA700-D","pushback",100.0,false,2,[],[],false,1
"07:14:30",1,24,"WN1086-D","pushback",100.0,false,2,[],[],false,1
"07:15:00",1,24,"AS3370-D","taxi",350.0,false,17,[],[],false,1
"07:15:00",1,24,"AS1302-D","pushback",100.0,false,2,[],[],false,2
"07:15:00",1,24,"AS303-D","taxi",350.0,false,11,[],[],false,1
"07:15:00",1,24,"UA5667-A","taxi",350.0,false,5,[],[],false,0
"07:15:00",1,24,"AA343-D","ramp",95.09309766341416,false,3,[],[],false,5
"07:15:00",1,24,"UA5617-A","taxi",0.0,false,2,[],[],false,0
"07:15:00",1,24,"UA2068-A","taxi",225.0,false,2,[],[],false,0
"07:15:00",1,24,"AA700-D","pushback",100.0,false,2,[],[],false,1
"07:15:00",1,24,"WN1086-D","pushback",100.0,false,2,[],[],false,1
"07:15:00",1,24,"UA5219-A","taxi",0.0,false,0,[],[],false,0
"07:15:30",1,24,"AS3370-D","taxi",350.0,false,18,[],[],false,1
"07:15:30",1,24,"AS1302-D","pushback",100.0,false,2,[],[],false,2
"07:15:30",1,24,"AS303-D","stop",350.0,false,13,[],[],false,1
"07:15:30",1,24,"UA5667-A","taxi",350.0,false,5,[],[],false,0
"07:15:30",1,24,"AA343-D","ramp",170.09309766341414,false,5,[],[],false,5
"07:15:30",1,24,"UA5617-A","taxi",0.0,false,2,[],[],false,0
"07:15:30",1,24,"UA2068-A","taxi",300.0,false,2,[],[],false,0
"07:15:30",1,24,"AA700-D","pushback",100.0,false,2,[],[],false,1
"07:15:30",1,24,"WN1086-D","pushback",100.0,false,2,[],[],false,1
"07:15:30",1,24,"UA5219-A","taxi",0.0,false,0,[],[],false,0
"07:16:00",2,42,"AS3370-D","taxi",350.0,false,18,[],[],false,1
"07:16:00",2,42,"AS1302-D","pushback",100.0,false,2,[],[],false,2
"07:16:00",2,42,"UA5667-A","taxi",350.0,false,5,[],[],false,0
"07:16:00",2,42,"AA343-D","ramp",200.0,false,7,[],[],false,5
"07:16:00",2,42,"UA5617-A","taxi",0.0,false,2,[],[],false,0
"07:16:00",2,42,"UA2068-A","taxi",350.0,false,3,[],[],false,0
"07:16:00",2,42,"AA700-D","pushback",100.0,false,2,[],[],false,1
"07:16:00",2,42,"WN1086-D","pushback",100.0,false,2,[],[],false,1
"07:16:00",2,42,"UA5219-A","taxi",0.0,false,0,[],[],false,0
"07:16:00",2,42,"UA577-D","atGate",75.0,false,1,[],[],false,1
"07:16:00",2,42,"AS303-D","stop",350.0,false,13,[],[],true,1
"07:16:30",2,42,"AS3370-D","taxi",350.0,false,18,[],[],false,1
"07:16:30",2,42,"AS1302-D","pushback",98.35766193957572,false,2,[],[],false,2
"07:16:30",2,42,"UA5667-A","ramp",275.0,false,8,[],[],false,0
"07:16:30",2,42,"AA343-D","taxi",275.0,false,8,[],[],false,5
"07:16:30",2,42,"UA5617-A","taxi",0.0,false,2,[],[],false,0
"07:16:30",2,42,"UA2068-A","taxi",350.0,false,3,[],[],false,0
